"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Right Breast","03-Nov-2020 20:49","03-Nov-2020 20:52",""
"Sleep","","03-Nov-2020 19:40","03-Nov-2020 20:39",""
"Feeding","Left Breast","03-Nov-2020 19:32","03-Nov-2020 19:40",""
"Sleep","","03-Nov-2020 18:43","03-Nov-2020 19:31",""
"Feeding","Right Breast","03-Nov-2020 18:29","03-Nov-2020 18:43",""
"Feeding","Left Breast","03-Nov-2020 17:06","03-Nov-2020 17:11",""
"Feeding","Right Breast","03-Nov-2020 15:48","03-Nov-2020 15:58",""
"Sleep","","03-Nov-2020 13:59","03-Nov-2020 15:45",""
"Feeding","Left Breast","03-Nov-2020 13:41","03-Nov-2020 13:59",""
"Feeding","Right Breast","03-Nov-2020 12:23","03-Nov-2020 12:31",""
"Sleep","","03-Nov-2020 11:22","03-Nov-2020 11:44",""
"Feeding","Left Breast","03-Nov-2020 11:16","03-Nov-2020 11:22",""
"Feeding","Right Breast","03-Nov-2020 10:31","03-Nov-2020 10:39",""
"Sleep","","03-Nov-2020 08:03","03-Nov-2020 10:01",""
"Feeding","Left Breast","03-Nov-2020 07:55","03-Nov-2020 08:03",""
"Sleep","","03-Nov-2020 04:25","03-Nov-2020 07:55",""
"Feeding","Right Breast","03-Nov-2020 04:08","03-Nov-2020 04:25",""
"Sleep","","03-Nov-2020 01:13","03-Nov-2020 03:58",""
"Feeding","Right Breast","03-Nov-2020 01:02","03-Nov-2020 01:13",""
"Sleep","","02-Nov-2020 23:49","03-Nov-2020 01:01",""
"Feeding","Left Breast","02-Nov-2020 23:40","02-Nov-2020 23:49",""
"Sleep","","02-Nov-2020 22:45","02-Nov-2020 23:40",""
"Feeding","Right Breast","02-Nov-2020 22:40","02-Nov-2020 22:45",""
"Feeding","Left Breast","02-Nov-2020 22:00","02-Nov-2020 22:10",""
"Feeding","Right Breast","02-Nov-2020 20:33","02-Nov-2020 20:46",""
"Feeding","Left Breast","02-Nov-2020 19:33","02-Nov-2020 19:37",""
"Feeding","Right Breast","02-Nov-2020 18:21","02-Nov-2020 18:29",""
"Sleep","","02-Nov-2020 17:18","02-Nov-2020 17:49",""
"Feeding","Left Breast","02-Nov-2020 17:04","02-Nov-2020 17:14",""
"Feeding","Right Breast","02-Nov-2020 15:50","02-Nov-2020 15:57",""
"Sleep","","02-Nov-2020 14:47","02-Nov-2020 15:34",""
"Feeding","Left Breast","02-Nov-2020 14:37","02-Nov-2020 14:47",""
"Feeding","Right Breast","02-Nov-2020 13:19","02-Nov-2020 13:27",""
"Sleep","","02-Nov-2020 11:10","02-Nov-2020 12:44",""
"Feeding","Left Breast","02-Nov-2020 11:02","02-Nov-2020 11:10",""
"Feeding","Left Breast","02-Nov-2020 09:56","02-Nov-2020 10:01",""
"Feeding","Right Breast","02-Nov-2020 08:58","02-Nov-2020 09:02",""
"Sleep","","02-Nov-2020 08:04","02-Nov-2020 08:57",""
"Feeding","Left Breast","02-Nov-2020 07:33","02-Nov-2020 07:36",""
"Sleep","","02-Nov-2020 06:34","02-Nov-2020 06:45",""
"Feeding","Right Breast","02-Nov-2020 06:25","02-Nov-2020 06:30",""
"Sleep","","02-Nov-2020 04:09","02-Nov-2020 06:24",""
"Feeding","Left Breast","02-Nov-2020 03:48","02-Nov-2020 03:59",""
"Sleep","","01-Nov-2020 23:31","02-Nov-2020 03:47",""
"Sleep","","01-Nov-2020 23:25","01-Nov-2020 23:31",""
"Feeding","Right Breast","01-Nov-2020 23:11","01-Nov-2020 23:25",""
"Feeding","Left Breast","01-Nov-2020 22:32","01-Nov-2020 22:38",""
