"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Sleep","","23-Oct-2020 06:13","23-Oct-2020 08:23",""
"Feeding","Left Breast","23-Oct-2020 06:07","23-Oct-2020 06:13",""
"Feeding","Right Breast","23-Oct-2020 04:56","23-Oct-2020 05:08",""
"Feeding","Left Breast","23-Oct-2020 03:52","23-Oct-2020 03:58",""
"Sleep","","23-Oct-2020 01:15","23-Oct-2020 03:52",""
"Feeding","Right Breast","23-Oct-2020 00:09","23-Oct-2020 00:24",""
"Sleep","","22-Oct-2020 22:54","22-Oct-2020 23:37",""
"Feeding","Left Breast","22-Oct-2020 22:24","22-Oct-2020 22:38",""
"Sleep","","22-Oct-2020 20:40","22-Oct-2020 22:20",""
"Feeding","Right Breast","22-Oct-2020 19:47","22-Oct-2020 20:00",""
"Feeding","Left Breast","22-Oct-2020 18:28","22-Oct-2020 18:40",""
"Sleep","","22-Oct-2020 17:16","22-Oct-2020 17:48",""
"Feeding","Right Breast","22-Oct-2020 17:04","22-Oct-2020 17:11",""
"Feeding","Left Breast","22-Oct-2020 15:31","22-Oct-2020 15:40",""
"Feeding","Right Breast","22-Oct-2020 15:30","22-Oct-2020 15:31",""
"Feeding","Left Breast","22-Oct-2020 14:22","22-Oct-2020 14:35",""
"Sleep","","22-Oct-2020 12:52","22-Oct-2020 14:18",""
"Feeding","Right Breast","22-Oct-2020 12:23","22-Oct-2020 12:31",""
"Feeding","Left Breast","22-Oct-2020 11:08","22-Oct-2020 11:17",""
"Sleep","","22-Oct-2020 09:52","22-Oct-2020 10:59",""
"Feeding","Left Breast","22-Oct-2020 09:47","22-Oct-2020 09:52",""
"Feeding","Right Breast","22-Oct-2020 08:34","22-Oct-2020 08:41",""
"Sleep","","22-Oct-2020 05:58","22-Oct-2020 08:23",""
"Feeding","Left Breast","22-Oct-2020 05:47","22-Oct-2020 05:52",""
"Sleep","","22-Oct-2020 02:41","22-Oct-2020 05:47",""
"Feeding","Right Breast","22-Oct-2020 02:31","22-Oct-2020 02:41",""
"Sleep","","21-Oct-2020 23:15","22-Oct-2020 02:30",""
"Feeding","Left Breast","21-Oct-2020 23:10","21-Oct-2020 23:16",""
"Sleep","","21-Oct-2020 21:39","21-Oct-2020 23:10",""
"Feeding","Right Breast","21-Oct-2020 21:23","21-Oct-2020 21:33",""
"Feeding","Left Breast","21-Oct-2020 20:12","21-Oct-2020 20:20",""
"Sleep","","21-Oct-2020 19:05","21-Oct-2020 19:30",""
"Feeding","Right Breast","21-Oct-2020 18:56","21-Oct-2020 19:05",""
"Feeding","Left Breast","21-Oct-2020 17:51","21-Oct-2020 18:03",""
"Sleep","","21-Oct-2020 17:31","21-Oct-2020 17:51",""
"Feeding","Right Breast","21-Oct-2020 16:25","21-Oct-2020 16:36",""
"Sleep","","21-Oct-2020 14:51","21-Oct-2020 16:05",""
"Feeding","Left Breast","21-Oct-2020 14:47","21-Oct-2020 14:51",""
"Feeding","Right Breast","21-Oct-2020 14:25","21-Oct-2020 14:28",""
"Feeding","Left Breast","21-Oct-2020 13:44","21-Oct-2020 13:48",""
"Sleep","","21-Oct-2020 12:42","21-Oct-2020 13:40",""
"Feeding","Right Breast","21-Oct-2020 11:02","21-Oct-2020 11:07",""
"Feeding","Left Breast","21-Oct-2020 10:15","21-Oct-2020 10:21",""
"Sleep","","21-Oct-2020 09:11","21-Oct-2020 10:04",""
"Feeding","Right Breast","21-Oct-2020 09:05","21-Oct-2020 09:11",""
"Sleep","","21-Oct-2020 07:40","21-Oct-2020 09:03",""
"Feeding","Left Breast","21-Oct-2020 06:35","21-Oct-2020 06:41",""
"Sleep","","21-Oct-2020 03:44","21-Oct-2020 06:35",""
"Feeding","Right Breast","21-Oct-2020 03:33","21-Oct-2020 03:40",""
"Sleep","","21-Oct-2020 00:00","21-Oct-2020 03:33",""
"Feeding","Left Breast","20-Oct-2020 23:47","20-Oct-2020 23:53",""
"Feeding","Left Breast","20-Oct-2020 23:29","20-Oct-2020 23:32",""
"Feeding","Right Breast","20-Oct-2020 22:52","20-Oct-2020 23:07",""
"Feeding","Left Breast","20-Oct-2020 21:59","20-Oct-2020 22:08",""
"Feeding","Right Breast","20-Oct-2020 20:40","20-Oct-2020 20:49",""
"Sleep","","20-Oct-2020 19:35","20-Oct-2020 20:40",""
"Feeding","Left Breast","20-Oct-2020 19:22","20-Oct-2020 19:33",""
"Feeding","Right Breast","20-Oct-2020 18:26","20-Oct-2020 18:34",""
"Sleep","","20-Oct-2020 17:35","20-Oct-2020 18:24",""
"Feeding","Left Breast","20-Oct-2020 17:20","20-Oct-2020 17:28",""
"Feeding","Right Breast","20-Oct-2020 15:28","20-Oct-2020 15:35",""
"Sleep","","20-Oct-2020 14:46","20-Oct-2020 15:15",""
"Feeding","Left Breast","20-Oct-2020 14:13","20-Oct-2020 14:20",""
"Feeding","Right Breast","20-Oct-2020 13:28","20-Oct-2020 13:34",""
"Feeding","Left Breast","20-Oct-2020 12:39","20-Oct-2020 12:44",""
"Sleep","","20-Oct-2020 11:36","20-Oct-2020 12:38",""
"Feeding","Right Breast","20-Oct-2020 11:30","20-Oct-2020 11:36",""
"Feeding","Left Breast","20-Oct-2020 09:56","20-Oct-2020 10:07",""
"Sleep","","20-Oct-2020 07:50","20-Oct-2020 09:00",""
"Feeding","Right Breast","20-Oct-2020 07:45","20-Oct-2020 07:50",""
"Sleep","","20-Oct-2020 06:08","20-Oct-2020 07:44",""
"Feeding","Left Breast","20-Oct-2020 05:52","20-Oct-2020 06:01",""
"Sleep","","20-Oct-2020 03:00","20-Oct-2020 05:52",""
"Feeding","Right Breast","20-Oct-2020 02:50","20-Oct-2020 02:56",""
"Sleep","","20-Oct-2020 00:03","20-Oct-2020 02:49",""
"Feeding","Left Breast","19-Oct-2020 23:46","19-Oct-2020 23:53",""
"Feeding","Right Breast","19-Oct-2020 23:17","19-Oct-2020 23:28",""
"Feeding","Left Breast","19-Oct-2020 22:20","19-Oct-2020 22:30",""
"Feeding","Right Breast","19-Oct-2020 21:18","19-Oct-2020 21:24",""
"Sleep","","19-Oct-2020 19:26","19-Oct-2020 20:44",""
"Feeding","Left Breast","19-Oct-2020 18:58","19-Oct-2020 19:15",""
"Sleep","","19-Oct-2020 17:49","19-Oct-2020 18:58",""
"Feeding","Right Breast","19-Oct-2020 16:44","19-Oct-2020 16:49",""
"Feeding","Left Breast","19-Oct-2020 15:45","19-Oct-2020 15:57",""
"Sleep","","19-Oct-2020 14:00","19-Oct-2020 15:08",""
"Feeding","Right Breast","19-Oct-2020 13:52","19-Oct-2020 14:01",""
"Sleep","","19-Oct-2020 12:50","19-Oct-2020 13:46",""
"Feeding","Left Breast","19-Oct-2020 12:44","19-Oct-2020 12:50",""
"Sleep","","19-Oct-2020 11:48","19-Oct-2020 12:10",""
"Feeding","Right Breast","19-Oct-2020 11:34","19-Oct-2020 11:45",""
"Feeding","Left Breast","19-Oct-2020 10:27","19-Oct-2020 10:38",""
"Sleep","","19-Oct-2020 09:00","19-Oct-2020 10:00",""
"Feeding","Right Breast","19-Oct-2020 08:53","19-Oct-2020 09:01",""
"Sleep","","19-Oct-2020 06:47","19-Oct-2020 08:10",""
"Feeding","Left Breast","19-Oct-2020 06:33","19-Oct-2020 06:42",""
"Sleep","","19-Oct-2020 02:53","19-Oct-2020 06:33",""
"Feeding","Right Breast","19-Oct-2020 02:35","19-Oct-2020 02:45",""
"Feeding","Left Breast","19-Oct-2020 01:17","19-Oct-2020 01:30",""
"Sleep","","18-Oct-2020 22:30","19-Oct-2020 01:14",""
"Feeding","Right Breast","18-Oct-2020 21:19","18-Oct-2020 21:36",""
"Feeding","Left Breast","18-Oct-2020 20:15","18-Oct-2020 20:31",""
"Sleep","","18-Oct-2020 18:55","18-Oct-2020 19:18",""
"Feeding","Right Breast","18-Oct-2020 18:46","18-Oct-2020 18:53",""
"Feeding","Left Breast","18-Oct-2020 17:34","18-Oct-2020 17:41",""
"Feeding","Right Breast","18-Oct-2020 17:00","18-Oct-2020 17:08",""
"Feeding","Left Breast","18-Oct-2020 15:45","18-Oct-2020 15:56",""
"Sleep","","18-Oct-2020 14:00","18-Oct-2020 15:44",""
"Feeding","Right Breast","18-Oct-2020 13:11","18-Oct-2020 13:21",""
"Feeding","Left Breast","18-Oct-2020 12:20","18-Oct-2020 12:31",""
"Growth","Weight","18-Oct-2020 11:38","18-Oct-2020 11:38","6.1kg"
"Feeding","Right Breast","18-Oct-2020 11:13","18-Oct-2020 11:21",""
"Sleep","","18-Oct-2020 08:43","18-Oct-2020 11:00",""
"Feeding","Left Breast","18-Oct-2020 08:36","18-Oct-2020 08:42",""
"Sleep","","18-Oct-2020 06:56","18-Oct-2020 08:36",""
"Feeding","Right Breast","18-Oct-2020 06:47","18-Oct-2020 06:54",""
"Sleep","","18-Oct-2020 01:09","18-Oct-2020 06:46",""
"Feeding","Left Breast","18-Oct-2020 00:54","18-Oct-2020 01:09",""
"Feeding","Right Breast","18-Oct-2020 00:14","18-Oct-2020 00:28",""
"Feeding","Left Breast","17-Oct-2020 23:14","17-Oct-2020 23:30",""
"Feeding","Right Breast","17-Oct-2020 21:40","17-Oct-2020 21:55",""
"Feeding","Left Breast","17-Oct-2020 20:30","17-Oct-2020 20:38",""
"Feeding","Right Breast","17-Oct-2020 19:27","17-Oct-2020 19:36",""
"Feeding","Left Breast","17-Oct-2020 17:20","17-Oct-2020 17:32",""
"Sleep","","17-Oct-2020 15:33","17-Oct-2020 16:00",""
"Feeding","Right Breast","17-Oct-2020 15:28","17-Oct-2020 15:33",""
"Sleep","","17-Oct-2020 14:52","17-Oct-2020 15:18",""
"Feeding","Left Breast","17-Oct-2020 14:29","17-Oct-2020 14:41",""
"Feeding","Right Breast","17-Oct-2020 13:20","17-Oct-2020 13:22",""
"Sleep","","17-Oct-2020 12:48","17-Oct-2020 13:19",""
"Feeding","Left Breast","17-Oct-2020 12:32","17-Oct-2020 12:39",""
"Feeding","Right Breast","17-Oct-2020 11:38","17-Oct-2020 11:46",""
"Sleep","","17-Oct-2020 10:46","17-Oct-2020 10:58",""
"Sleep","","17-Oct-2020 10:24","17-Oct-2020 10:46",""
"Feeding","Left Breast","17-Oct-2020 10:13","17-Oct-2020 10:22",""
"Feeding","Right Breast","17-Oct-2020 09:05","17-Oct-2020 09:14",""
"Feeding","Left Breast","17-Oct-2020 07:45","17-Oct-2020 07:55",""
"Sleep","","17-Oct-2020 06:00","17-Oct-2020 07:42",""
"Feeding","Right Breast","17-Oct-2020 05:16","17-Oct-2020 05:23",""
"Sleep","","17-Oct-2020 01:30","17-Oct-2020 05:15",""
"Feeding","Left Breast","17-Oct-2020 00:36","17-Oct-2020 00:40",""
"Feeding","Right Breast","16-Oct-2020 23:36","16-Oct-2020 23:43",""
"Feeding","Left Breast","16-Oct-2020 22:49","16-Oct-2020 23:00",""
"Feeding","Right Breast","16-Oct-2020 21:44","16-Oct-2020 21:56",""
"Sleep","","16-Oct-2020 20:48","16-Oct-2020 21:42",""
"Feeding","Left Breast","16-Oct-2020 20:28","16-Oct-2020 20:38",""
"Sleep","","16-Oct-2020 19:54","16-Oct-2020 20:21",""
"Feeding","Right Breast","16-Oct-2020 19:29","16-Oct-2020 19:36",""
"Feeding","Left Breast","16-Oct-2020 18:28","16-Oct-2020 18:32",""
"Sleep","","16-Oct-2020 17:25","16-Oct-2020 17:52",""
"Feeding","Right Breast","16-Oct-2020 17:22","16-Oct-2020 17:29",""
"Feeding","Left Breast","16-Oct-2020 16:14","16-Oct-2020 16:29",""
"Sleep","","16-Oct-2020 15:00","16-Oct-2020 15:55",""
"Feeding","Right Breast","16-Oct-2020 14:48","16-Oct-2020 15:00",""
"Sleep","","16-Oct-2020 13:51","16-Oct-2020 14:41",""
"Feeding","Left Breast","16-Oct-2020 13:34","16-Oct-2020 13:51",""
"Sleep","","16-Oct-2020 12:43","16-Oct-2020 12:49",""
"Sleep","","16-Oct-2020 12:13","16-Oct-2020 12:43",""
"Feeding","Right Breast","16-Oct-2020 12:05","16-Oct-2020 12:12",""
"Feeding","Left Breast","16-Oct-2020 10:49","16-Oct-2020 10:55",""
"Feeding","Right Breast","16-Oct-2020 09:31","16-Oct-2020 09:41",""
"Sleep","","16-Oct-2020 08:34","16-Oct-2020 09:27",""
"Sleep","","16-Oct-2020 07:34","16-Oct-2020 08:34",""
"Sleep","","16-Oct-2020 06:46","16-Oct-2020 07:15",""
"Feeding","Left Breast","16-Oct-2020 06:37","16-Oct-2020 06:43",""
"Sleep","","16-Oct-2020 03:38","16-Oct-2020 06:36",""
"Feeding","Right Breast","16-Oct-2020 03:22","16-Oct-2020 03:33",""
"Sleep","","15-Oct-2020 23:39","16-Oct-2020 03:11",""
"Feeding","Left Breast","15-Oct-2020 23:18","15-Oct-2020 23:30",""
"Sleep","","15-Oct-2020 23:08","15-Oct-2020 23:17",""
"Sleep","","15-Oct-2020 22:37","15-Oct-2020 22:57",""
"Feeding","Right Breast","15-Oct-2020 22:14","15-Oct-2020 22:28",""
"Sleep","","15-Oct-2020 21:34","15-Oct-2020 22:10",""
"Feeding","Left Breast","15-Oct-2020 21:13","15-Oct-2020 21:21",""
"Feeding","Right Breast","15-Oct-2020 20:05","15-Oct-2020 20:17",""
"Sleep","","15-Oct-2020 19:02","15-Oct-2020 19:27",""
"Feeding","Left Breast","15-Oct-2020 18:37","15-Oct-2020 18:41",""
"Feeding","Right Breast","15-Oct-2020 17:38","15-Oct-2020 17:51",""
"Feeding","Left Breast","15-Oct-2020 16:42","15-Oct-2020 16:49",""
"Sleep","","15-Oct-2020 15:31","15-Oct-2020 16:27",""
"Feeding","Right Breast","15-Oct-2020 15:17","15-Oct-2020 15:28",""
"Feeding","Left Breast","15-Oct-2020 14:17","15-Oct-2020 14:29",""
"Feeding","Right Breast","15-Oct-2020 12:47","15-Oct-2020 12:55",""
"Sleep","","15-Oct-2020 10:32","15-Oct-2020 12:46",""
"Sleep","","15-Oct-2020 09:41","15-Oct-2020 10:04",""
"Feeding","Left Breast","15-Oct-2020 09:22","15-Oct-2020 09:33",""
"Feeding","Right Breast","15-Oct-2020 08:05","15-Oct-2020 08:12",""
"Sleep","","15-Oct-2020 06:52","15-Oct-2020 07:51",""
"Feeding","Left Breast","15-Oct-2020 06:32","15-Oct-2020 06:45",""
"Sleep","","15-Oct-2020 03:40","15-Oct-2020 06:31",""
"Feeding","Right Breast","15-Oct-2020 03:07","15-Oct-2020 03:20",""
"Sleep","","14-Oct-2020 23:40","15-Oct-2020 03:05",""
"Feeding","Left Breast","14-Oct-2020 23:21","14-Oct-2020 23:28",""
"Sleep","","14-Oct-2020 22:49","14-Oct-2020 23:21",""
"Feeding","Right Breast","14-Oct-2020 22:29","14-Oct-2020 22:41",""
"Feeding","Left Breast","14-Oct-2020 21:35","14-Oct-2020 21:41",""
"Feeding","Right Breast","14-Oct-2020 20:25","14-Oct-2020 20:36",""
"Feeding","Left Breast","14-Oct-2020 19:26","14-Oct-2020 19:33",""
"Sleep","","14-Oct-2020 18:10","14-Oct-2020 19:00",""
"Feeding","Right Breast","14-Oct-2020 17:51","14-Oct-2020 18:06",""
"Feeding","Left Breast","14-Oct-2020 16:51","14-Oct-2020 16:57",""
"Feeding","Right Breast","14-Oct-2020 15:45","14-Oct-2020 15:55",""
"Feeding","Left Breast","14-Oct-2020 14:17","14-Oct-2020 14:27",""
"Sleep","","14-Oct-2020 12:29","14-Oct-2020 14:16",""
"Feeding","Right Breast","14-Oct-2020 12:07","14-Oct-2020 12:18",""
"Feeding","Left Breast","14-Oct-2020 10:59","14-Oct-2020 11:03",""
"Sleep","","14-Oct-2020 10:06","14-Oct-2020 10:47",""
"Sleep","","14-Oct-2020 09:50","14-Oct-2020 10:06",""
"Feeding","Right Breast","14-Oct-2020 09:38","14-Oct-2020 09:51",""
"Sleep","","14-Oct-2020 07:38","14-Oct-2020 08:30",""
"Feeding","Left Breast","14-Oct-2020 07:30","14-Oct-2020 07:38",""
"Sleep","","14-Oct-2020 06:07","14-Oct-2020 07:28",""
"Feeding","Right Breast","14-Oct-2020 05:55","14-Oct-2020 06:01",""
"Sleep","","14-Oct-2020 03:21","14-Oct-2020 05:54",""
"Feeding","Left Breast","14-Oct-2020 03:04","14-Oct-2020 03:11",""
"Feeding","Right Breast","14-Oct-2020 03:03","14-Oct-2020 03:04",""
"Sleep","","13-Oct-2020 22:12","14-Oct-2020 03:02",""
"Sleep","","13-Oct-2020 21:50","13-Oct-2020 22:12",""
"Feeding","Right Breast","13-Oct-2020 21:39","13-Oct-2020 21:48",""
"Sleep","","13-Oct-2020 20:58","13-Oct-2020 21:38",""
"Feeding","Left Breast","13-Oct-2020 20:48","13-Oct-2020 20:52",""
"Feeding","Right Breast","13-Oct-2020 19:39","13-Oct-2020 19:53",""
"Feeding","Left Breast","13-Oct-2020 19:37","13-Oct-2020 19:39",""
"Feeding","Left Breast","13-Oct-2020 18:22","13-Oct-2020 18:29",""
"Feeding","Right Breast","13-Oct-2020 17:17","13-Oct-2020 17:25",""
"Sleep","","13-Oct-2020 16:30","13-Oct-2020 17:03",""
"Feeding","Left Breast","13-Oct-2020 15:27","13-Oct-2020 15:34",""
"Sleep","","13-Oct-2020 14:57","13-Oct-2020 15:22",""
"Feeding","Right Breast","13-Oct-2020 14:01","13-Oct-2020 14:07",""
"Sleep","","13-Oct-2020 12:58","13-Oct-2020 13:25",""
"Feeding","Left Breast","13-Oct-2020 12:01","13-Oct-2020 12:07",""
"Sleep","","13-Oct-2020 11:28","13-Oct-2020 11:45",""
"Feeding","Right Breast","13-Oct-2020 10:14","13-Oct-2020 10:22",""
"Feeding","Left Breast","13-Oct-2020 08:51","13-Oct-2020 08:54",""
"Feeding","Right Breast","13-Oct-2020 07:40","13-Oct-2020 07:47",""
"Sleep","","13-Oct-2020 06:21","13-Oct-2020 07:24",""
"Feeding","Left Breast","13-Oct-2020 06:08","13-Oct-2020 06:15",""
"Sleep","","13-Oct-2020 04:20","13-Oct-2020 06:08",""
"Sleep","","13-Oct-2020 02:44","13-Oct-2020 04:13",""
"Feeding","Right Breast","13-Oct-2020 02:33","13-Oct-2020 02:39",""
"Sleep","","12-Oct-2020 23:56","13-Oct-2020 02:32",""
"Feeding","Left Breast","12-Oct-2020 23:37","12-Oct-2020 23:46",""
"Feeding","Right Breast","12-Oct-2020 22:29","12-Oct-2020 22:36",""
"Sleep","","12-Oct-2020 21:55","12-Oct-2020 22:29",""
"Feeding","Left Breast","12-Oct-2020 21:22","12-Oct-2020 21:29",""
"Feeding","Right Breast","12-Oct-2020 20:36","12-Oct-2020 20:43",""
"Feeding","Left Breast","12-Oct-2020 19:09","12-Oct-2020 19:18",""
"Sleep","","12-Oct-2020 17:06","12-Oct-2020 19:00",""
"Feeding","Right Breast","12-Oct-2020 17:01","12-Oct-2020 17:07",""
"Sleep","","12-Oct-2020 15:58","12-Oct-2020 16:59",""
"Feeding","Left Breast","12-Oct-2020 15:48","12-Oct-2020 15:59",""
"Sleep","","12-Oct-2020 14:48","12-Oct-2020 15:47",""
"Sleep","","12-Oct-2020 14:13","12-Oct-2020 14:46",""
"Feeding","Right Breast","12-Oct-2020 13:20","12-Oct-2020 13:22",""
"Feeding","Left Breast","12-Oct-2020 12:19","12-Oct-2020 12:26",""
"Sleep","","12-Oct-2020 11:28","12-Oct-2020 12:02",""
"Sleep","","12-Oct-2020 11:15","12-Oct-2020 11:28",""
"Feeding","Right Breast","12-Oct-2020 11:08","12-Oct-2020 11:15",""
"Feeding","Left Breast","12-Oct-2020 09:30","12-Oct-2020 09:34",""
"Sleep","","12-Oct-2020 07:58","12-Oct-2020 09:00",""
"Feeding","Right Breast","12-Oct-2020 07:51","12-Oct-2020 07:57",""
"Sleep","","12-Oct-2020 06:28","12-Oct-2020 07:51",""
"Feeding","Left Breast","12-Oct-2020 06:12","12-Oct-2020 06:16",""
"Sleep","","12-Oct-2020 03:57","12-Oct-2020 06:12",""
"Feeding","Right Breast","12-Oct-2020 03:49","12-Oct-2020 03:56",""
"Sleep","","12-Oct-2020 00:31","12-Oct-2020 03:48",""
"Feeding","Left Breast","12-Oct-2020 00:20","12-Oct-2020 00:26",""
"Sleep","","11-Oct-2020 22:13","12-Oct-2020 00:19",""
"Feeding","Right Breast","11-Oct-2020 21:36","11-Oct-2020 21:44",""
"Sleep","","11-Oct-2020 20:50","11-Oct-2020 21:28",""
"Feeding","Left Breast","11-Oct-2020 20:43","11-Oct-2020 20:51",""
"Feeding","Right Breast","11-Oct-2020 19:20","11-Oct-2020 19:30",""
"Feeding","Left Breast","11-Oct-2020 17:49","11-Oct-2020 17:55",""
"Sleep","","11-Oct-2020 16:36","11-Oct-2020 17:44",""
"Feeding","Right Breast","11-Oct-2020 14:45","11-Oct-2020 14:52",""
"Sleep","","11-Oct-2020 12:43","11-Oct-2020 14:05",""
"Feeding","Left Breast","11-Oct-2020 11:57","11-Oct-2020 12:02",""
"Sleep","","11-Oct-2020 10:19","11-Oct-2020 11:00",""
"Sleep","","11-Oct-2020 10:10","11-Oct-2020 10:18",""
"Feeding","Right Breast","11-Oct-2020 10:03","11-Oct-2020 10:09",""
"Feeding","Left Breast","11-Oct-2020 08:55","11-Oct-2020 09:00",""
"Sleep","","11-Oct-2020 07:25","11-Oct-2020 08:39",""
"Feeding","Right Breast","11-Oct-2020 07:17","11-Oct-2020 07:23",""
"Sleep","","11-Oct-2020 04:51","11-Oct-2020 07:16",""
"Feeding","Left Breast","11-Oct-2020 03:56","11-Oct-2020 04:05",""
"Sleep","","11-Oct-2020 00:32","11-Oct-2020 03:55",""
"Feeding","Right Breast","11-Oct-2020 00:11","11-Oct-2020 00:22",""
"Sleep","","10-Oct-2020 22:49","11-Oct-2020 00:10",""
"Sleep","","10-Oct-2020 22:10","10-Oct-2020 22:34",""
"Sleep","","10-Oct-2020 21:38","10-Oct-2020 22:10",""
"Feeding","Left Breast","10-Oct-2020 21:31","10-Oct-2020 21:36",""
"Sleep","","10-Oct-2020 20:42","10-Oct-2020 21:31",""
"Feeding","Left Breast","10-Oct-2020 20:30","10-Oct-2020 20:32",""
"Feeding","Right Breast","10-Oct-2020 18:48","10-Oct-2020 19:00",""
"Feeding","Left Breast","10-Oct-2020 18:21","10-Oct-2020 18:32",""
"Sleep","","10-Oct-2020 17:30","10-Oct-2020 17:47",""
"Sleep","","10-Oct-2020 17:15","10-Oct-2020 17:30",""
"Feeding","Right Breast","10-Oct-2020 16:53","10-Oct-2020 16:57",""
"Feeding","Left Breast","10-Oct-2020 15:31","10-Oct-2020 15:41",""
"Sleep","","10-Oct-2020 14:15","10-Oct-2020 15:01",""
"Sleep","","10-Oct-2020 14:00","10-Oct-2020 14:15",""
"Feeding","Left Breast","10-Oct-2020 13:24","10-Oct-2020 13:27",""
"Feeding","Right Breast","10-Oct-2020 13:23","10-Oct-2020 13:24",""
"Sleep","","10-Oct-2020 12:49","10-Oct-2020 13:22",""
"Sleep","","10-Oct-2020 12:30","10-Oct-2020 12:49",""
"Feeding","Left Breast","10-Oct-2020 11:38","10-Oct-2020 11:41",""
"Feeding","Right Breast","10-Oct-2020 11:34","10-Oct-2020 11:38",""
"Feeding","Left Breast","10-Oct-2020 09:58","10-Oct-2020 10:04",""
"Sleep","","10-Oct-2020 07:20","10-Oct-2020 09:59",""
"Sleep","","10-Oct-2020 07:01","10-Oct-2020 07:13",""
"Feeding","Right Breast","10-Oct-2020 06:47","10-Oct-2020 06:55",""
"Sleep","","10-Oct-2020 05:20","10-Oct-2020 06:46",""
"Feeding","Left Breast","10-Oct-2020 05:10","10-Oct-2020 05:14",""
"Sleep","","10-Oct-2020 01:47","10-Oct-2020 05:08",""
"Feeding","Right Breast","10-Oct-2020 01:34","10-Oct-2020 01:42",""
"Sleep","","09-Oct-2020 23:09","10-Oct-2020 01:33",""
"Sleep","","09-Oct-2020 22:45","09-Oct-2020 23:09",""
"Feeding","Left Breast","09-Oct-2020 22:09","09-Oct-2020 22:17",""
"Feeding","Right Breast","09-Oct-2020 21:03","09-Oct-2020 21:18",""
"Sleep","","09-Oct-2020 20:04","09-Oct-2020 20:40",""
"Sleep","","09-Oct-2020 19:50","09-Oct-2020 20:02",""
"Feeding","Left Breast","09-Oct-2020 19:45","09-Oct-2020 19:50",""
"Feeding","Right Breast","09-Oct-2020 18:31","09-Oct-2020 18:36",""
"Sleep","","09-Oct-2020 17:59","09-Oct-2020 18:29",""
"Sleep","","09-Oct-2020 17:32","09-Oct-2020 17:59",""
"Feeding","Left Breast","09-Oct-2020 17:25","09-Oct-2020 17:31",""
"Sleep","","09-Oct-2020 15:40","09-Oct-2020 17:23",""
"Sleep","","09-Oct-2020 14:44","09-Oct-2020 15:25",""
"Feeding","Right Breast","09-Oct-2020 13:54","09-Oct-2020 14:04",""
"Feeding","Left Breast","09-Oct-2020 12:07","09-Oct-2020 12:12",""
"Sleep","","09-Oct-2020 10:46","09-Oct-2020 11:24",""
"Sleep","","09-Oct-2020 10:35","09-Oct-2020 10:46",""
"Feeding","Right Breast","09-Oct-2020 10:30","09-Oct-2020 10:36",""
"Feeding","Left Breast","09-Oct-2020 09:17","09-Oct-2020 09:24",""
"Sleep","","09-Oct-2020 07:47","09-Oct-2020 08:46",""
"Feeding","Right Breast","09-Oct-2020 07:31","09-Oct-2020 07:39",""
"Sleep","","09-Oct-2020 06:26","09-Oct-2020 07:31",""
"Sleep","","09-Oct-2020 05:45","09-Oct-2020 06:22",""
"Feeding","Left Breast","09-Oct-2020 05:28","09-Oct-2020 05:36",""
"Sleep","","09-Oct-2020 02:24","09-Oct-2020 05:28",""
"Feeding","Right Breast","09-Oct-2020 02:12","09-Oct-2020 02:18",""
"Sleep","","08-Oct-2020 22:31","09-Oct-2020 02:11",""
"Sleep","","08-Oct-2020 22:12","08-Oct-2020 22:31",""
"Feeding","Left Breast","08-Oct-2020 22:01","08-Oct-2020 22:11",""
"Feeding","Right Breast","08-Oct-2020 20:48","08-Oct-2020 20:54",""
"Feeding","Left Breast","08-Oct-2020 20:04","08-Oct-2020 20:08",""
"Sleep","","08-Oct-2020 19:24","08-Oct-2020 20:04",""
"Feeding","Right Breast","08-Oct-2020 19:10","08-Oct-2020 19:16",""
"Feeding","Left Breast","08-Oct-2020 17:40","08-Oct-2020 17:46",""
"Sleep","","08-Oct-2020 17:26","08-Oct-2020 17:39",""
"Feeding","Right Breast","08-Oct-2020 15:46","08-Oct-2020 15:52",""
"Sleep","","08-Oct-2020 14:45","08-Oct-2020 15:45",""
"Feeding","Left Breast","08-Oct-2020 14:15","08-Oct-2020 14:22",""
"Sleep","","08-Oct-2020 12:13","08-Oct-2020 14:10",""
"Sleep","","08-Oct-2020 11:57","08-Oct-2020 12:13",""
"Feeding","Right Breast","08-Oct-2020 10:49","08-Oct-2020 10:56",""
"Sleep","","08-Oct-2020 10:09","08-Oct-2020 10:22",""
"Sleep","","08-Oct-2020 09:58","08-Oct-2020 10:09",""
"Feeding","Left Breast","08-Oct-2020 09:19","08-Oct-2020 09:26",""
"Sleep","","08-Oct-2020 07:26","08-Oct-2020 08:40",""
"Feeding","Left Breast","08-Oct-2020 06:35","08-Oct-2020 06:47",""
"Feeding","Right Breast","08-Oct-2020 06:21","08-Oct-2020 06:29",""
"Sleep","","08-Oct-2020 02:30","08-Oct-2020 06:15",""
"Feeding","Left Breast","08-Oct-2020 01:41","08-Oct-2020 01:48",""
"Sleep","","07-Oct-2020 23:16","08-Oct-2020 01:41",""
"Sleep","","07-Oct-2020 22:35","07-Oct-2020 23:16",""
"Feeding","Right Breast","07-Oct-2020 22:20","07-Oct-2020 22:36",""
"Sleep","","07-Oct-2020 21:10","07-Oct-2020 22:18",""
"Sleep","","07-Oct-2020 21:00","07-Oct-2020 21:10",""
